Spectrum: C:\Users\danpa\Desktop\MS data for grace\CHCA 6 first MS 1_1\1Ref,,,,,,,,,,
,,,,,,,,,,
m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak
1245.784,62394.70,375.548,16.956,300.906,21244.458,46.703,0.020,0.059,2333.394,0
1248.775,62468.98,185.123,8.244,173.880,17150.360,27.927,0.010,0.073,1040.522,0
1258.769,62716.60,337.620,15.367,336.674,16225.307,55.809,0.018,0.078,1941.380,0
1259.673,62738.96,294.616,13.311,721.218,24260.190,32.484,0.016,0.052,542.538,0
1261.767,62790.70,353.657,15.978,3383.473,17500.777,54.822,0.019,0.072,1347.596,0
1263.769,62840.12,238.728,10.609,1602.042,24830.729,27.161,0.013,0.051,852.082,0
1273.783,63086.75,443.316,20.203,2617.174,25585.069,49.004,0.024,0.050,2402.127,0
1276.790,63160.63,466.930,21.290,619.794,23287.663,56.529,0.025,0.055,12566.081,0
1278.797,63209.87,341.173,14.959,29.595,47262.565,21.662,0.019,0.027,72896.081,0
1281.828,63284.19,6507.253,303.191,17199.710,21146.193,885.452,0.354,0.061,131866.935,0
1282.796,63307.90,1034.358,47.449,529.544,16572.968,177.109,0.056,0.077,84621.604,0
1283.825,63333.09,567.525,25.722,262.519,21211.946,74.978,0.031,0.061,27288.364,0
1294.813,63601.55,522.978,23.859,713.605,20186.045,73.889,0.028,0.064,13896.722,0
1296.826,63650.61,496.413,22.670,345.851,20982.146,67.430,0.027,0.062,20248.991,0
1299.841,63724.02,1870.248,86.700,8014.308,21016.117,258.092,0.102,0.062,11660.531,0
1300.817,63747.75,456.696,20.798,250.751,12763.775,102.187,0.025,0.102,6589.278,0
1309.824,63966.45,219.241,9.741,94.491,19479.169,31.746,0.012,0.067,2787.195,0
1311.836,64015.21,670.175,30.800,3189.989,20173.152,96.940,0.036,0.065,2824.463,0
1313.850,64063.97,193.533,8.548,195.953,21310.979,25.693,0.011,0.062,1745.858,0
1327.841,64401.67,592.299,27.068,517.697,18205.314,96.820,0.032,0.073,3904.018,0
1329.828,64449.48,265.546,11.899,1382.968,12515.562,62.452,0.014,0.106,1002.319,0
1355.903,65073.66,208.291,9.346,933.034,23326.750,27.139,0.011,0.058,947.335,0
1363.870,65263.18,279.502,12.749,594.069,24382.759,35.329,0.015,0.056,709.722,0
1365.804,65309.10,316.394,14.195,4925.041,24363.107,46.994,0.017,0.056,586.093,0
1669.995,72165.52,204.257,10.474,1559.736,20884.554,43.346,0.011,0.080,202.640,0
1675.143,72275.90,327.606,16.561,242.601,43913.671,35.798,0.018,0.038,14487.142,0
1678.158,72340.47,2103.179,113.308,57866.408,26336.816,378.829,0.114,0.064,5477.488,0
1694.160,72682.21,1122.072,61.273,28332.501,26686.196,203.424,0.061,0.063,2842.312,0
1700.142,72809.54,286.174,15.233,2658.335,21500.449,66.336,0.016,0.079,1797.362,0
1726.126,73360.05,395.680,21.695,1750.471,19111.058,100.443,0.022,0.090,834.759,0
1748.174,73823.91,497.554,27.651,4519.132,27036.617,94.736,0.027,0.065,3468.852,0
1750.044,73863.13,516.481,28.936,7603.439,22984.318,115.291,0.028,0.076,2520.008,0
1750.186,73866.12,698.300,39.174,11586.233,24593.543,144.552,0.038,0.071,3092.955,0
1764.070,74156.55,387.007,21.772,9396.368,21409.920,91.967,0.021,0.082,829.157,0
1766.192,74200.82,1451.802,83.547,24642.841,27317.866,275.045,0.079,0.065,4024.350,0
1768.052,74239.62,278.356,15.575,2061.490,23993.204,65.547,0.015,0.074,2160.485,0
1778.055,74447.94,203.557,11.275,3422.790,23168.208,46.291,0.011,0.077,723.203,0
1782.051,74530.98,259.436,14.642,1312.902,11567.395,115.119,0.014,0.154,732.892,0
1793.096,74760.05,229.534,13.023,6512.328,20581.614,58.809,0.012,0.087,473.475,0
1811.108,75132.09,270.005,15.479,9217.912,24121.775,59.622,0.015,0.075,374.157,0
1831.181,75544.54,321.052,18.938,574.502,22223.106,79.090,0.017,0.082,1662.642,0
2351.722,85542.63,157.299,14.183,7307.040,36002.105,33.313,0.009,0.065,223.125,0
2395.753,86334.80,153.000,14.169,1059.442,29588.187,39.889,0.008,0.081,295.100,0
